food,cn_name,cn_food_id,energy_kj_per100g,energy_kcal,protein_g,fat_g,carb_g,fiber_g,sodium_mg,source,note
egg,蛋（鸡蛋，均值),978,599.0,143.2,13.3,8.8,2.8,,131.5,中国食物成分表(中国疾控中心营养与健康所),kcal 由 kJ÷4.184 换算；站点未印 kcal
pork_belly,猪肉(肥瘦)(均值),779,1634.0,390.5,13.2,37.0,2.4,,59.4,中国食物成分表(中国疾控中心营养与健康所),kcal 由 kJ÷4.184 换算；站点未印 kcal
pork_lean,猪肉(瘦),788,600.0,143.4,20.3,6.2,1.5,,57.5,中国食物成分表(中国疾控中心营养与健康所),kcal 由 kJ÷4.184 换算；站点未印 kcal
pork_rib,猪大排,791,1095.0,261.7,18.3,20.4,1.7,,44.5,中国食物成分表(中国疾控中心营养与健康所),kcal 由 kJ÷4.184 换算；站点未印 kcal
pork_fat,猪油(炼),1494,3689.0,881.7,,99.6,0.2,,,中国食物成分表(中国疾控中心营养与健康所),kcal 由 kJ÷4.184 换算；站点未印 kcal
chicken_breast,鸡胸脯肉,880,557.0,133.1,19.4,5.0,2.5,,34.4,中国食物成分表(中国疾控中心营养与健康所),kcal 由 kJ÷4.184 换算；站点未印 kcal
chicken_whole,鸡(均值),876,698.0,166.8,19.3,9.4,1.3,,63.3,中国食物成分表(中国疾控中心营养与健康所),kcal 由 kJ÷4.184 换算；站点未印 kcal
duck_meat,鸭(均值),891,996.0,238.0,15.5,19.7,0.2,,69.0,中国食物成分表(中国疾控中心营养与健康所),kcal 由 kJ÷4.184 换算；站点未印 kcal
beef_shank,牛肉(后腱),826,416.0,99.4,20.1,1.0,2.2,,85.3,中国食物成分表(中国疾控中心营养与健康所),kcal 由 kJ÷4.184 换算；站点未印 kcal
beef_offal,牛肚,834,306.0,73.1,14.5,1.6,,,60.6,中国食物成分表(中国疾控中心营养与健康所),kcal 由 kJ÷4.184 换算；站点未印 kcal
fish_bass,鲈鱼[鲈花],1050,442.0,105.6,18.6,3.4,,,144.1,中国食物成分表(中国疾控中心营养与健康所),kcal 由 kJ÷4.184 换算；站点未印 kcal
